"module";"genotype";"Y";"X";"W_02.07.21";"W_09.07.21";"W_16.07.21";"W_23.07.21";"W_30.07.21";"W_06.08.21";"W_13.08.21";"W_20.08.21";"W_27.08.21";"W_03.09.21";"W_10.09.21";"W_17.09.21";"W_24.09.21";"W_02.07.21_TT";"W_09.07.21_TT";"W_16.07.21_TT";"W_23.07.21_TT";"W_30.07.21_TT";"W_06.08.21_TT";"W_13.08.21_TT";"W_20.08.21_TT";"W_27.08.21_TT";"W_03.09.21_TT";"W_10.09.21_TT";"W_17.09.21_TT";"W_24.09.21_TT"
"date 2";"Cm484";6;2;0;0;0.0526315789473684;0.0526315789473684;0.0526315789473684;0.0526315789473684;0.0526315789473684;0.0526315789473684;0.157894736842105;0.157894736842105;0.315789473684211;0.368421052631579;0.368421052631579;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-M52";6;2;0;0.0625;0.125;0.1875;0.375;0.375;0.4375;0.5;0.5;0.5;0.9375;0.9375;0.9375;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"SA24U";6;2;0;0.0476190476190476;0.142857142857143;0.238095238095238;0.523809523809524;0.714285714285714;0.761904761904762;0.857142857142857;0.857142857142857;0.904761904761905;0.952380952380952;0.952380952380952;1;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"G18-F318";7;2;0;0;0;0.111111111111111;0.166666666666667;0.166666666666667;0.277777777777778;0.5;0.5;0.5;0.5;0.555555555555556;0.555555555555556;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-M52";7;2;0;0;0;0.157894736842105;0.210526315789474;0.263157894736842;0.263157894736842;0.421052631578947;0.473684210526316;0.736842105263158;0.789473684210526;0.789473684210526;0.842105263157895;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"HP301";7;2;0;0;0.1;0.3;0.35;0.65;0.65;0.65;0.65;0.65;0.7;0.75;0.75;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"F618";8;2;0;0;0;0.476190476190476;0.476190476190476;0.523809523809524;0.666666666666667;0.714285714285714;0.761904761904762;0.761904761904762;0.761904761904762;0.904761904761905;0.904761904761905;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"FV2";8;2;0;0;0;0.181818181818182;0.181818181818182;0.181818181818182;0.181818181818182;0.272727272727273;0.272727272727273;0.272727272727273;0.772727272727273;0.772727272727273;0.772727272727273;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"HP301";8;2;0;0;0.0555555555555556;0.166666666666667;0.166666666666667;0.222222222222222;0.333333333333333;0.333333333333333;0.388888888888889;0.444444444444444;0.444444444444444;0.444444444444444;0.5;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"F271";9;2;0;0.117647058823529;0.176470588235294;0.235294117647059;0.411764705882353;0.470588235294118;0.470588235294118;0.588235294117647;0.647058823529412;0.647058823529412;0.647058823529412;0.647058823529412;0.647058823529412;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"NYS302";9;2;0;0.0588235294117647;0.0588235294117647;0.117647058823529;0.411764705882353;0.588235294117647;0.647058823529412;0.764705882352941;0.764705882352941;0.882352941176471;0.882352941176471;0.882352941176471;0.882352941176471;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"FV252";10;2;0;0;0;0.217391304347826;0.347826086956522;0.347826086956522;0.391304347826087;0.391304347826087;0.391304347826087;0.434782608695652;0.478260869565217;0.478260869565217;0.478260869565217;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-F318";10;2;0.0434782608695652;0.0434782608695652;0.0434782608695652;0.0869565217391304;0.130434782608696;0.217391304347826;0.304347826086957;0.391304347826087;0.521739130434783;0.521739130434783;0.739130434782609;0.826086956521739;0.826086956521739;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-M52";10;2;0;0;0.0625;0.0625;0.25;0.5;0.5;0.5;0.5;0.6875;0.8125;0.875;0.875;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 1";"C105";11;2;0;0.0714285714285714;0.142857142857143;0.142857142857143;0.142857142857143;0.357142857142857;0.5;0.5;0.714285714285714;0.714285714285714;0.785714285714286;0.857142857142857;0.857142857142857;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F271";11;2;0;0;0;0.25;0.25;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-F36";11;2;0.12;0.12;0.12;0.16;0.2;0.2;0.24;0.24;0.32;0.36;0.48;0.48;0.52;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"FV2";2;3;0;0;0;0;0;0;0.125;0.125;0.125;0.125;0.125;0.25;0.25;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"LO3";2;3;0;0;0.0666666666666667;0.0666666666666667;0.0666666666666667;0.0666666666666667;0.133333333333333;0.266666666666667;0.266666666666667;0.266666666666667;0.266666666666667;0.333333333333333;0.4;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"MBS847";2;3;0;0;0.166666666666667;0.166666666666667;0.25;0.25;0.333333333333333;0.333333333333333;0.416666666666667;0.5;0.583333333333333;0.583333333333333;0.583333333333333;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 2";"G18-M52";3;3;0;0;0.0666666666666667;0.333333333333333;0.466666666666667;0.533333333333333;0.6;0.733333333333333;0.733333333333333;0.8;0.8;0.8;0.8;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
