"module";"genotype";"Y";"X";"W_02.07.21";"W_09.07.21";"W_16.07.21";"W_23.07.21";"W_30.07.21";"W_06.08.21";"W_13.08.21";"W_20.08.21";"W_27.08.21";"W_03.09.21";"W_10.09.21";"W_17.09.21";"W_24.09.21";"W_02.07.21_TT";"W_09.07.21_TT";"W_16.07.21_TT";"W_23.07.21_TT";"W_30.07.21_TT";"W_06.08.21_TT";"W_13.08.21_TT";"W_20.08.21_TT";"W_27.08.21_TT";"W_03.09.21_TT";"W_10.09.21_TT";"W_17.09.21_TT";"W_24.09.21_TT"
"date 3";"F271";3;4;0;0;0.0909090909090909;0.363636363636364;0.545454545454545;0.545454545454545;0.636363636363636;0.636363636363636;0.636363636363636;0.636363636363636;0.636363636363636;0.636363636363636;0.727272727272727;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"F64";3;4;0;0.0434782608695652;0.0869565217391304;0.478260869565217;0.478260869565217;0.652173913043478;0.695652173913043;0.826086956521739;0.826086956521739;0.826086956521739;0.869565217391304;0.869565217391304;0.869565217391304;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"FV2";3;4;0;0;0;0.0625;0.0625;0.0625;0.0625;0.125;0.125;0.1875;0.3125;0.375;0.375;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 2";"F918";4;4;0;0;0.333333333333333;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;0.555555555555556;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"FV252";4;4;0;0;0;0;0;0.0476190476190476;0.285714285714286;0.333333333333333;0.333333333333333;0.380952380952381;0.476190476190476;0.476190476190476;0.476190476190476;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"G18-F318";4;4;0;0;0;0;0.227272727272727;0.272727272727273;0.454545454545455;0.681818181818182;0.681818181818182;0.727272727272727;0.772727272727273;0.772727272727273;0.772727272727273;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"C105";5;4;0;0;0.0588235294117647;0.0588235294117647;0.176470588235294;0.176470588235294;0.235294117647059;0.235294117647059;0.352941176470588;0.470588235294118;0.529411764705882;0.588235294117647;0.647058823529412;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"F66";5;4;0.05;0.05;0.2;0.25;0.3;0.3;0.45;0.7;0.7;0.75;0.9;0.9;0.9;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"SA24U";5;4;0;0.0526315789473684;0.263157894736842;0.315789473684211;0.368421052631579;0.421052631578947;0.421052631578947;0.473684210526316;0.736842105263158;0.789473684210526;0.842105263157895;0.842105263157895;0.842105263157895;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"G18-M40";6;4;0;0;0;0.384615384615385;0.538461538461538;0.615384615384615;0.615384615384615;0.615384615384615;0.615384615384615;0.615384615384615;0.615384615384615;0.692307692307692;0.692307692307692;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-M52";6;4;0;0;0.0666666666666667;0.2;0.333333333333333;0.4;0.466666666666667;0.666666666666667;0.733333333333333;0.8;0.866666666666667;0.866666666666667;0.866666666666667;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"LO32";6;4;0.0476190476190476;0.19047619047619;0.285714285714286;0.428571428571429;0.619047619047619;0.666666666666667;0.666666666666667;0.714285714285714;0.761904761904762;0.80952380952381;0.857142857142857;0.857142857142857;0.857142857142857;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"C105";7;4;0;0;0;0.0952380952380952;0.0952380952380952;0.285714285714286;0.285714285714286;0.380952380952381;0.380952380952381;0.428571428571429;0.761904761904762;0.761904761904762;0.761904761904762;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"FV252";7;4;0;0;0;0.125;0.125;0.125;0.125;0.1875;0.1875;0.1875;0.1875;0.1875;0.1875;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"MBS847";7;4;0;0.0526315789473684;0.0526315789473684;0.105263157894737;0.210526315789474;0.263157894736842;0.315789473684211;0.421052631578947;0.421052631578947;0.421052631578947;0.473684210526316;0.473684210526316;0.578947368421053;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"FV252";8;4;0.05;0.05;0.05;0.15;0.15;0.15;0.25;0.25;0.25;0.3;0.35;0.35;0.35;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"LO32";8;4;0;0;0;0.133333333333333;0.266666666666667;0.266666666666667;0.333333333333333;0.533333333333333;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;0.666666666666667;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"SA24U";8;4;0;0;0.214285714285714;0.214285714285714;0.428571428571429;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 2";"F271";9;4;0;0;0;1;1;1;1;1;1;1;1;1;1;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-F36";9;4;0.05;0.05;0.05;0.1;0.15;0.15;0.15;0.25;0.35;0.4;0.65;0.7;0.7;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"LO3";9;4;0;0;0;0;0;0.3;0.35;0.45;0.45;0.45;0.5;0.5;0.5;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 1";"G18-M40";10;4;0;0.0625;0.0625;0.0625;0.375;0.4375;0.5625;0.5625;0.625;0.6875;0.6875;0.6875;0.6875;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"Mo17";10;4;0.0625;0.0625;0.0625;0.1875;0.3125;0.375;0.375;0.375;0.375;0.375;0.375;0.375;0.4375;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"F271";11;4;0;0;0;0;0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"F618";11;4;0.05;0.05;0.05;0.3;0.45;0.5;0.5;0.5;0.5;0.5;0.65;0.65;0.65;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"G18-F318";2;5;0;0;0.0476190476190476;0.0476190476190476;0.142857142857143;0.380952380952381;0.380952380952381;0.380952380952381;0.380952380952381;0.428571428571429;0.428571428571429;0.428571428571429;0.476190476190476;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-F318";2;5;0;0;0;0.1;0.1;0.1;0.4;0.4;0.5;0.5;0.5;0.6;0.6;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-M52";2;5;0;0;0;0.214285714285714;0.214285714285714;0.571428571428571;0.571428571428571;0.714285714285714;0.714285714285714;0.857142857142857;0.857142857142857;0.857142857142857;0.857142857142857;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"FV2";3;5;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0.285714285714286;0.285714285714286;0.285714285714286;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"G18-M40";3;5;0;0;0.0476190476190476;0.142857142857143;0.380952380952381;0.380952380952381;0.380952380952381;0.380952380952381;0.428571428571429;0.476190476190476;0.571428571428571;0.571428571428571;0.619047619047619;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-M52";3;5;0;0;0;0.0666666666666667;0.4;0.466666666666667;0.466666666666667;0.733333333333333;0.733333333333333;0.733333333333333;0.8;0.8;0.8;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 1";"G18-M40";4;5;0;0;0;0.2;0.35;0.35;0.35;0.6;0.65;0.7;0.8;0.8;0.8;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"G18-M52";4;5;0;0;0.1;0.2;0.4;0.5;0.6;0.8;0.8;0.8;0.8;0.8;0.8;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"HP301";4;5;0;0;0.0454545454545455;0.227272727272727;0.409090909090909;0.409090909090909;0.545454545454545;0.681818181818182;0.681818181818182;0.681818181818182;0.727272727272727;0.727272727272727;0.727272727272727;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"C105";5;5;0;0;0;0.2;0.466666666666667;0.533333333333333;0.6;0.8;0.8;0.8;0.866666666666667;0.866666666666667;0.866666666666667;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-F36";5;5;0;0;0;0;0;0;0.166666666666667;0.222222222222222;0.277777777777778;0.277777777777778;0.555555555555556;0.722222222222222;0.722222222222222;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"LO3";5;5;0;0;0;0.125;0.125;0.125;0.125;0.125;0.1875;0.25;0.375;0.375;0.4375;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"F66";6;5;0;0;0;0;0;0;0;0.25;0.4375;0.4375;0.75;0.75;0.8125;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"FV2";6;5;0;0;0.12;0.12;0.16;0.16;0.2;0.2;0.24;0.24;0.28;0.36;0.36;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"SA24U";6;5;0;0.0909090909090909;0.181818181818182;0.363636363636364;0.5;0.590909090909091;0.590909090909091;0.590909090909091;0.772727272727273;0.772727272727273;0.818181818181818;0.818181818181818;0.818181818181818;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"B73";7;5;0;0.0454545454545455;0.0909090909090909;0.136363636363636;0.136363636363636;0.545454545454545;0.545454545454545;0.636363636363636;0.636363636363636;0.636363636363636;0.818181818181818;0.818181818181818;0.818181818181818;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"G18-M40";7;5;0;0;0;0.285714285714286;0.285714285714286;0.285714285714286;0.428571428571429;0.857142857142857;0.857142857142857;0.857142857142857;0.857142857142857;0.857142857142857;0.857142857142857;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"MBS847";7;5;0;0;0.0476190476190476;0.142857142857143;0.285714285714286;0.476190476190476;0.476190476190476;0.571428571428571;0.666666666666667;0.714285714285714;0.80952380952381;0.80952380952381;0.80952380952381;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F618";8;5;0;0.0625;0.125;0.3125;0.5;0.5625;0.5625;0.5625;0.625;0.6875;0.75;0.75;0.75;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"F66";8;5;0;0.05;0.05;0.1;0.1;0.1;0.1;0.4;0.4;0.4;0.65;0.65;0.65;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"SA24U";8;5;0;0.05;0.1;0.2;0.55;0.55;0.6;0.7;0.95;1;1;1;1;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F64";9;5;0.0588235294117647;0.0588235294117647;0.235294117647059;0.470588235294118;0.529411764705882;0.529411764705882;0.529411764705882;0.588235294117647;0.588235294117647;0.588235294117647;0.647058823529412;0.705882352941177;0.705882352941177;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"LO3";9;5;0;0;0.0526315789473684;0.0526315789473684;0.210526315789474;0.263157894736842;0.263157894736842;0.315789473684211;0.315789473684211;0.315789473684211;0.421052631578947;0.578947368421053;0.631578947368421;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"Mo17";9;5;0;0;0;0.0625;0.125;0.3125;0.3125;0.3125;0.375;0.4375;0.5;0.5;0.5;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F918";10;5;0;0;0;0.857142857142857;1;1;1;1;1;1;1;1;1;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"FV2";10;5;0;0;0;0;0;0;0;0.0952380952380952;0.142857142857143;0.142857142857143;0.19047619047619;0.19047619047619;0.238095238095238;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"F271";11;5;0;0;0;0.25;0.5;1;1;1;1;1;1;1;1;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"F271";11;5;0;0;0.133333333333333;0.4;0.533333333333333;0.533333333333333;0.533333333333333;0.533333333333333;0.533333333333333;0.533333333333333;0.533333333333333;0.533333333333333;0.6;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"F618";11;5;0;0;0.1;0.2;0.2;0.4;0.4;0.4;0.7;0.7;0.7;0.7;0.7;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 1";"HP301";2;6;0;0;0;0.0625;0.0625;0.1875;0.3125;0.4375;0.5;0.625;0.6875;0.75;0.75;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"NYS302";2;6;0;0;0.1;0.1;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"NYS302";2;6;0.0909090909090909;0.0909090909090909;0.181818181818182;0.454545454545455;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;0.818181818181818;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"Cm484";3;6;0;0.05;0.05;0.1;0.1;0.1;0.15;0.15;0.25;0.25;0.45;0.45;0.45;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"LO3";3;6;0;0;0.0476190476190476;0.0952380952380952;0.238095238095238;0.285714285714286;0.333333333333333;0.380952380952381;0.380952380952381;0.380952380952381;0.523809523809524;0.523809523809524;0.523809523809524;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"LO3";3;6;0;0;0.0833333333333333;0.583333333333333;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-M40";4;6;0;0;0;0;0.263157894736842;0.263157894736842;0.315789473684211;0.473684210526316;0.473684210526316;0.473684210526316;0.578947368421053;0.631578947368421;0.631578947368421;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"HP301";4;6;0;0;0.222222222222222;0.333333333333333;0.5;0.5;0.555555555555556;0.555555555555556;0.555555555555556;0.611111111111111;0.611111111111111;0.611111111111111;0.666666666666667;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"LO3";4;6;0;0;0;0.210526315789474;0.368421052631579;0.368421052631579;0.368421052631579;0.526315789473684;0.526315789473684;0.526315789473684;0.526315789473684;0.578947368421053;0.578947368421053;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-F318";5;6;0;0;0;0.0625;0.0625;0.375;0.4375;0.4375;0.4375;0.4375;0.625;0.625;0.625;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"MBS847";5;6;0;0;0.1;0.4;0.4;0.4;0.4;0.5;0.5;0.6;0.6;0.6;0.6;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 3";"MBS847";5;6;0;0;0.1;0.55;0.7;0.8;0.8;0.85;0.85;0.9;0.95;0.95;0.95;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 1";"G18-M52";6;6;0;0;0.0952380952380952;0.142857142857143;0.523809523809524;0.666666666666667;0.714285714285714;0.714285714285714;0.714285714285714;0.714285714285714;0.857142857142857;0.857142857142857;0.857142857142857;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"HP301";6;6;0;0;0.157894736842105;0.368421052631579;0.421052631578947;0.473684210526316;0.578947368421053;0.578947368421053;0.631578947368421;0.631578947368421;0.631578947368421;0.631578947368421;0.684210526315789;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 3";"C105";7;6;0;0;0;0.214285714285714;0.285714285714286;0.357142857142857;0.357142857142857;0.642857142857143;0.642857142857143;0.714285714285714;0.714285714285714;0.714285714285714;0.714285714285714;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
"date 2";"G18-F36";7;6;0;0;0;0;0;0;0.0909090909090909;0.409090909090909;0.409090909090909;0.409090909090909;0.454545454545455;0.5;0.5;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"G18-M52";7;6;0;0.0588235294117647;0.0588235294117647;0.176470588235294;0.176470588235294;0.176470588235294;0.235294117647059;0.352941176470588;0.411764705882353;0.705882352941177;0.823529411764706;0.882352941176471;0.882352941176471;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 2";"C105";8;6;0;0;0.0833333333333333;0.166666666666667;0.25;0.25;0.5;0.583333333333333;0.583333333333333;0.583333333333333;0.666666666666667;0.75;0.75;38.1820866933279;43.7180416608412;49.1453145671907;58.0085711432977;63.9528016014155;69.2431312249605;75.9327115840481;82.0064494899532;87.7073850780355;93.2968783967391;101.465800189774;107.160931911328;111.691869807172
"date 1";"Cm484";8;6;0;0;0;0;0;0;0.1;0.1;0.3;0.3;0.35;0.5;0.5;44.2082671791288;49.744222146642;55.1714950529915;64.0347516290986;69.9789820872163;75.2693117107613;81.958892069849;88.032629975754;93.7335655638364;99.32305888254;107.491980675574;113.187112397129;117.718050292973
"date 3";"G18-F318";8;6;0;0;0;0;0;0;0.0434782608695652;0.0869565217391304;0.304347826086957;0.304347826086957;0.347826086956522;0.347826086956522;0.347826086956522;33.132923043981;38.6688780114943;44.0961509178437;52.9594074939508;58.9036379520685;64.1939675756136;70.8835479347012;76.9572858406062;82.6582214286886;88.2477147473922;96.4166365404266;102.111768261981;106.642706157825
